,mean,std
temp,290.38110180118565,5.012788716992745
dew_point,285.68923791609666,5.318849100073736
pressure,1017.6194140446877,6.796333679953964
humidity,75.43638850889192,14.63776651310041
wind_speed,4.480127678978568,2.8450022314130243
wind_deg,177.9670542635659,106.65596405175141
rain_1h,0.5870257234726688,0.6880296304093597
clouds_all,50.52074783401733,37.72609581153202
Dhi,69.16740766073872,106.64184291872171
Dni,188.09353625171,318.3734630042758
Ghi,181.04286365709075,268.84707448550694
