dt_iso,temp,dew_point,pressure,humidity,wind_speed,wind_deg,rain_1h,clouds_all,Dhi,Dni,Ghi,hour_sin,hour_cos,month_sin,month_cos,weather_broken clouds,weather_few clouds,weather_light rain,weather_moderate rain,weather_other,weather_overcast clouds,weather_scattered clouds,weather_sky is clear,solar_zenith,solar_azimuth,clearness_index,effective_irradiance,direct_fraction,clear_sky_index,cloud_effect,minutes_since_sunrise,minutes_until_sunset
2010-07-01 16:00:00+10:00,-0.39322823,-1.9701635,0.7458991,-2.306955,-1.5798718,-1.6902463,-0.30317158,-0.25779688,0.37623763,0.041904755,-0.10555753,-1.2255692,-0.7067464,-0.40183315,-1.2448174,0,0,0,0,0,0,1,0,-0.26405582,0.6212361,,-0.13500337,0.9935712,0.92203695,-0.06535338,0.35403958,-1.1276404
2010-07-01 17:00:00+10:00,-0.82208496,-1.1028057,0.88988847,-0.6914128,-1.2868682,-1.2731899,-0.30317158,1.3244168,-0.37393942,-0.50101846,-0.5495226,-1.3668634,-0.36569783,-0.40183315,-1.2448174,0,0,0,0,0,1,0,0,0.006999073,0.7092746,,-0.56164116,0.60371435,3.08215,-0.52472854,0.53050613,-1.1276404
2010-07-01 18:00:00+10:00,-1.2431486,-1.3645122,1.0338778,-0.48947,-0.33891553,1.368168,-0.30317158,1.3244168,-0.6493209,-0.5925579,-0.67368233,-1.4150561,0.00029237987,-0.40183315,-1.2448174,0,0,0,0,0,1,0,0,0.29893497,0.7861173,,-0.66864043,-0.6916164,-0.7629812,-0.52472854,0.70697266,-1.1276404
2010-07-01 19:00:00+10:00,-1.2567955,-1.3775929,1.0338778,-0.48947,-0.33891553,1.368168,-0.30317158,1.3244168,-0.6493209,-0.5925579,-0.67368233,-1.3668634,0.36628258,-0.40183315,-1.2448174,0,0,0,0,0,1,0,0,0.60458565,0.8569996,,-0.66864043,-0.6916164,-0.7629812,-0.52472854,0.8834392,-1.1276404
2010-07-01 20:00:00+10:00,-1.2665399,-1.1551459,1.0338778,-0.08558442,-0.9111342,1.4423114,-0.30317158,1.3244168,-0.6493209,-0.5925579,-0.67368233,-1.2255692,0.7073312,-0.40183315,-1.2448174,0,0,0,0,0,1,0,0,0.918724,0.92764276,,-0.66864043,-0.6916164,-0.7629812,-0.52472854,1.0599056,-1.1276404
2010-07-01 21:00:00+10:00,-1.6447172,-2.198218,1.0338778,-1.229927,-0.33891553,1.1828096,-0.30317158,1.2980465,-0.6493209,-0.5925579,-0.67368233,-1.0008026,1.0001962,-0.40183315,-1.2448174,0,0,0,0,0,1,0,0,1.2367473,1.0066311,,-0.66864043,-0.6916164,-0.7629812,-0.52472854,1.2363722,-1.1276404
2010-07-01 22:00:00+10:00,-1.6135267,-2.1701798,1.1778672,-1.229927,-0.33891553,1.1828096,-0.30317158,1.3244168,-0.6493209,-0.5925579,-0.67368233,-0.70788115,1.2249194,-0.40183315,-1.2448174,0,0,0,0,0,1,0,0,1.5523446,1.1134084,,-0.66864043,-0.6916164,-0.7629812,-0.52472854,1.4128388,-1.1276404
2010-07-01 23:00:00+10:00,-1.3659594,-1.1046768,1.1778672,0.18367265,-0.631919,1.0623266,-0.30317158,1.3244168,-0.6493209,-0.5925579,-0.67368233,-0.36676675,1.3661864,-0.40183315,-1.2448174,0,0,0,0,0,1,0,0,1.847468,1.3167071,,-0.66864043,-0.6916164,-0.7629812,-0.52472854,1.5893053,-1.1276404
2010-07-02 00:00:00+10:00,-1.8240614,-1.8953925,1.1778672,-0.48947,-0.33891553,1.0901303,-0.30317158,1.3244168,-0.6493209,-0.5925579,-0.67368233,-0.0007060036,1.41437,-0.40183315,-1.2448174,0,0,0,0,0,1,0,0,2.01338,-1.7404821,,-0.66864043,-0.6916164,-0.7629812,-0.52472854,-1.0576926,1.5547342
2010-07-02 01:00:00+10:00,-1.7714248,-1.8486601,1.1778672,-0.48947,-0.33891553,1.0901303,-0.30317158,1.3244168,-0.6493209,-0.5925579,-0.67368233,0.36535478,1.3661864,-0.40183315,-1.2448174,0,0,0,0,0,1,0,0,1.8463145,-1.1654936,,-0.66864043,-0.6916164,-0.7629812,-0.52472854,-1.0576926,1.3870858
